Tiempo,Corriente,Presión C. Eje,T° Retorno,T° socket Linner,T° Excéntrica,T° Alimentación,T° Desc. C. Eje,Salto anillo A,Salto Anillo B,Salto Anillo C,Salto Anillo D,Nivel Taza,Setting
2017-07-01 07:48:00,65.09900283813477,358.119140625,39.552032470703125,36.11020278930664,55.47690773010254,34.27655601501465,34.80365562438965,7.422265529632568,9.626367092132568,6.244336128234863,13.16855478286743,40.42666816711426,28.60000610351562
2017-07-01 08:24:00,72.96353912353516,283.33203125,43.610782623291016,40.42431449890137,58.402456283569336,39.1409797668457,37.70627212524414,7.458203077316284,9.591991901397705,6.6449220180511475,13.779296875,40.72673225402832,28.50000381469727
2017-07-01 09:00:00,80.47523880004883,310.765625,40.66666221618652,37.57021141052246,57.30748176574707,35.299543380737305,36.32236671447754,7.399023532867432,9.242578029632568,6.6552734375,13.2939453125,40.84649085998535,27.00000762939453
2017-07-01 09:36:00,78.78512573242188,303.21484375,40.74502182006836,37.68020439147949,57.241092681884766,35.69914245605469,35.93986511230469,7.669140577316284,9.4208984375,6.6439454555511475,13.781054496765135,41.27174186706543,27.00000762939453
2017-07-01 10:12:00,85.55858612060547,299.314453125,41.777639389038086,38.72969627380371,57.89091110229492,37.22748184204102,37.00070571899414,7.5814454555511475,9.345703125,6.854687690734863,13.6201171875,41.3486213684082,27.00000762939453
2017-07-01 10:48:00,83.32898712158203,290.78125,42.09057807922363,38.97438430786133,58.03240966796875,37.24009895324707,37.220842361450195,7.5835936069488525,9.622265338897705,6.998046875,13.753711223602295,42.47352409362793,27.00000762939453
2017-07-01 11:24:00,78.24425506591797,303.296875,42.21957206726074,39.05051040649414,57.80513191223145,37.44595909118652,37.231136322021484,7.880078315734863,9.369336128234863,6.603710889816284,13.502734661102295,41.242713928222656,27.00000762939453
2017-07-01 12:00:00,81.12179565429688,286.30078125,42.45598030090332,39.2763786315918,57.98618125915527,37.82281494140625,37.686349868774414,7.42578125,8.880663871765137,6.516796827316284,13.417187690734865,41.496482849121094,29.10000228881836
2017-07-01 12:36:00,83.6919059753418,273.212890625,43.49988555908203,40.28780555725098,59.22469902038574,38.93163299560546,38.85941696166992,7.697851657867432,9.331445217132568,6.812695264816284,13.499609470367435,42.25996971130371,29.10000228881836
2017-07-01 13:12:00,88.78707504272461,256.140625,43.30830383300781,40.40878486633301,59.559326171875,38.987247467041016,39.09947395324707,7.443359375,9.407422065734863,6.751757860183716,13.479101657867435,41.31583786010742,28.80000305175781
2017-07-01 13:48:00,82.0851821899414,263.765625,44.62347984313965,41.40754508972168,59.83559989929199,39.978031158447266,40.10420036315918,7.963281154632568,9.542578220367432,7.177929878234863,13.985156059265135,42.365074157714844,28.80000305175781
2017-07-01 14:24:00,65.61108016967773,300.431640625,44.72972869873047,41.25486946105958,58.527971267700195,39.8714485168457,40.335296630859375,7.540625095367432,9.305468559265137,6.575976610183716,13.3837890625,41.803266525268555,28.80000305175781
2017-07-01 15:00:00,0.0,174.078125,37.27811622619629,38.43099021911621,51.767578125,35.253889083862305,37.12687683105469,-0.05078125,-0.046875,-0.015625,-0.087890625,17.840027809143066,28.80000305175781
2017-07-01 15:36:00,0.0,192.54296875,34.855119705200195,35.589900970458984,46.28293991088867,33.5338020324707,32.90775489807129,-0.05078125,-0.046875,-0.015625,-0.087890625,9.91907787322998,28.80000305175781
2017-07-01 16:12:00,0.0,172.630859375,36.7329216003418,35.86628532409668,44.806610107421875,36.913047790527344,31.889083862304684,-0.05078125,-0.046875,-0.015625,-0.087890625,22.856770515441895,28.80000305175781
2017-07-01 16:48:00,0.0,162.974609375,38.043283462524414,36.21963691711426,44.12858963012695,38.17709159851074,31.753615379333496,-0.05078125,-0.046875,-0.015625,-0.087890625,18.147480010986328,28.80000305175781
2017-07-01 17:24:00,0.0,162.599609375,38.13990592956543,36.18478965759277,43.520185470581055,38.18605613708496,31.41029453277588,-0.0546875,-0.05078125,-0.01953125,-0.08984374999999994,11.17034387588501,28.80000305175781
2017-07-01 18:00:00,24.78523349761963,394.84375,41.75672149658203,38.034677505493164,53.51518630981445,38.414825439453125,34.44406318664551,1.3472656607627869,1.481640636920929,0.8617187738418579,1.911328077316284,18.415384292602536,28.80000305175781
2017-07-01 18:36:00,0.0,200.3828125,36.60093879699707,37.5280876159668,47.101139068603516,33.71957206726074,35.56367301940918,-0.0625,-0.05859375,-0.02734375,-0.095703125,19.193018913269043,28.80000305175781
2017-07-01 19:12:00,0.0,186.14453125,36.89677810668945,36.0550651550293,43.84441375732421,37.46322250366211,32.43295097351074,-0.06640625,-0.0625,-0.03125,-0.103515625,18.78701400756836,28.80000305175781
2017-07-01 19:48:00,0.0,170.1953125,39.67588233947754,37.08783149719238,44.06156539916992,40.03497314453125,32.56509971618652,-0.0703125,-0.06640625,-0.03515625,-0.107421875,17.99356937408447,28.80000305175781
2017-07-01 20:24:00,0.0,163.240234375,40.6600227355957,37.80839157104492,44.455997467041016,41.06509971618652,32.55248260498047,-0.07421875,-0.0703125,-0.0390625,-0.111328125,20.951730728149414,28.80000305175781
2017-07-01 21:00:00,0.0,159.537109375,41.172677993774414,38.351083755493164,44.79357719421387,41.62390899658203,32.56277465820312,-0.078125,-0.07421875,-0.04296875,-0.1124999970197678,24.1611270904541,28.80000305175781
2017-07-01 21:36:00,0.0,157.890625,41.50769805908203,38.69534111022949,45.05332374572754,41.90480613708496,32.59232711791992,-0.07851562649011609,-0.080078125,-0.04296875,-0.1171875,17.27216148376465,28.80000305175781
