Fecha,Conductividad,Carga motor (M014),Carga motor (M015),Ind.Presión (PI8026),Ind.Presión (PIC8025),Ind.Temperatura (TI8015),Ind.Temperatura (TIC8014),Estado
2016-01-13 04:00:00,3.7,53.4409073,40.5236275,17.6939149,17.9,78.6808011,100.4958748,0.0
2016-01-13 06:00:00,3.9,71.3373732,40.9590511,18.4734781,18.9,84.1959739,99.7627381,0.0
2016-01-13 08:00:00,4.4,71.0308798,41.9726754,18.4315434,18.9,81.0018693,100.4621585,0.0
2016-01-13 10:00:00,4.3,70.9226074,42.4555538,18.378233,18.9,81.1396675,100.3131703,0.0
2016-01-13 12:00:00,4.3,70.8154346,42.5839254,18.3059799,18.9,81.9896878,100.5357281,0.0
2016-01-13 14:00:00,4.2,70.4701763,42.1494568,18.2412115,18.9,80.4436603,101.453599,0.0
2016-01-13 16:00:00,4.0,50.1792501,41.9042962,18.2625328,18.9,80.1692676,100.7265344,0.0
2016-01-13 18:00:00,4.2,63.8345783,41.8020765,18.3077005,18.9,81.4258879,100.1868731,0.0
2016-01-13 20:00:00,4.0,60.8128688,42.0793552,18.155058,18.9,80.3246356,100.3133935,0.0
2016-01-13 22:00:00,3.5,70.2463535,42.2799319,17.6753843,18.9,81.6853392,102.0547618,0.0
2016-01-14 00:00:00,3.4,32.118716,42.2294726,18.4364151,18.9,80.9060365,99.488874,0.0
2016-01-14 02:00:00,3.5,34.7167847,42.6706416,18.6092754,18.9,82.4351098,99.3054445,0.0
2016-01-14 04:00:00,3.6,31.6201005,42.55859,18.5817392,18.9,82.0777124,99.8195284,0.0
2016-01-14 06:00:00,4.0,32.2170757,42.7585212,18.6456531,18.9,82.0489543,99.4301469,0.0
2016-01-14 08:00:00,4.0,32.4472643,42.4621703,18.7444363,18.9,83.419493,100.2988896,0.0
2016-01-14 10:00:00,4.0,33.3290845,42.5875017,18.6137269,18.9,82.7075267,99.7446426,0.0
2016-01-14 12:00:00,3.8,33.0527911,39.5875524,18.1993226,18.9,82.4366135,100.6364165,0.0
2016-01-14 14:00:00,3.8,20.0470292,1.7432175,18.6459135,18.9,80.2531728,99.123413,0.0
2016-01-14 16:00:00,3.6,7.1269644,19.5500949,17.9767398,18.2,75.2925221,99.7914741,0.0
2016-01-14 18:00:00,3.0,21.8127315,38.3555015,15.6043383,15.9,72.4660799,101.3332942,0.0
2016-01-14 20:00:00,4.1,26.7001082,39.7418001,17.6328949,17.0,77.6387592,100.8438365,0.0
2016-01-14 22:00:00,4.0,35.3136218,39.6951431,18.1871982,17.7,81.604128,99.3128061,0.0
2016-01-15 00:00:00,3.7,36.8305932,40.8298431,18.2875282,18.5,83.9506132,99.8084344,0.0
2016-01-15 02:00:00,3.7,32.8978934,40.5510444,18.2847292,18.5,81.6212826,101.2029293,0.0
2016-01-15 04:00:00,3.7,31.6460728,40.0658306,18.3304091,18.5,80.7341341,101.0691579,0.0
2016-01-15 06:00:00,3.9,35.308868,39.6203226,18.4419468,18.5,81.5544938,101.7382225,0.0
2016-01-15 08:00:00,4.4,69.6709551,39.4262574,18.5174314,18.5,81.3749038,100.1996926,0.0
2016-01-15 10:00:00,4.1,69.6205996,40.024414,18.2858771,18.5,81.6556503,100.9049727,0.0
2016-01-15 12:00:00,4.0,69.5255136,39.723025,17.9848826,18.5,81.8478448,100.4936281,0.0
2016-01-15 14:00:00,4.0,69.6593273,39.7540088,17.8412124,18.5,81.0324563,100.1477456,0.0
2016-01-15 16:00:00,4.2,69.6889108,37.862394,17.9101959,18.5,81.5458361,99.5273228,0.0
2016-01-15 18:00:00,4.2,69.6394287,37.1659156,17.9715495,18.5,81.1583207,100.1397716,0.0
2016-01-15 20:00:00,4.4,69.7968887,38.9797709,17.9593094,18.5,81.2815049,99.5453356,0.0
